time,tst-15.1,tst-15.2,tst-15.3,tst-15.4,tst-15.5,tst-15.6,tst-15.7,tst-15.8,tst-15.9,tst-15.10,tst-15.11,tst-15.12,tst-15.13,tst-15.14
32,0.000417657,0.000435059,0.000538218,0.000577126,0.000698735,0.000766375,0.000882247,0.000980786,0.001075087,0.00120293,0.002001822,0.002263167,0.002836186,0.003208284
33,0.000417664,0.00043506,0.000539209,0.000578271,0.000702551,0.000770866,0.000890662,0.000990612,0.001089164,0.001219317,0.002046651,0.002314904,0.002910022,0.003292762
34,0.000417601,0.000435017,0.000540051,0.000579272,0.000706072,0.000775036,0.000898663,0.000999956,0.001102736,0.001235128,0.002091007,0.002366089,0.002983179,0.00337642
35,0.000417667,0.000435092,0.000540925,0.000580288,0.000709475,0.000779026,0.000906401,0.001008981,0.001115951,0.001250496,0.002134944,0.00241686,0.003055736,0.00345929
36,0.000417775,0.000435184,0.000541757,0.000581229,0.000712703,0.000782787,0.000913823,0.001017635,0.001128763,0.001265388,0.002178446,0.002467164,0.003127668,0.003541397
37,0.000417754,0.000435157,0.000542406,0.00058198,0.000715627,0.00078623,0.000920824,0.001025814,0.001141068,0.001279711,0.002221479,0.00251689,0.003198924,0.003622742
38,0.000417684,0.000435103,0.000542952,0.000582635,0.000718325,0.00078943,0.000927481,0.001033596,0.001152938,0.001293535,0.00226406,0.00256608,0.003269577,0.003703374
39,0.000417719,0.000435144,0.000543533,0.000583311,0.000720935,0.000792489,0.000933912,0.001041102,0.001164482,0.001306959,0.002306205,0.002614812,0.003339703,0.003783338
40,0.000417787,0.000435198,0.000544088,0.000583936,0.000723409,0.000795369,0.000940076,0.001048293,0.001175668,0.001319958,0.002347894,0.002663029,0.003409296,0.003862677
41,0.000417755,0.000435162,0.000544509,0.000584425,0.000725648,0.000798008,0.000945896,0.001055095,0.001186418,0.00133247,0.002389094,0.002710641,0.003478328,0.003941406
42,0.000417689,0.000435109,0.000544859,0.00058485,0.000727716,0.000800461,0.000951433,0.001061571,0.00119679,0.001344547,0.002429808,0.002757672,0.003546868,0.004019576
43,0.000417707,0.000435132,0.000545244,0.000585298,0.000729716,0.000802806,0.000956778,0.001067811,0.001206872,0.001356269,0.002470041,0.002804175,0.003614979,0.00409723
44,0.000417752,0.000435165,0.000545615,0.000585713,0.000731612,0.000805012,0.0009619,0.001073788,0.001216636,0.001367617,0.002509784,0.002850117,0.003682666,0.004174416
45,0.000417718,0.000435129,0.000545886,0.000586029,0.000733326,0.000807034,0.000966741,0.001079446,0.001226028,0.001378548,0.002549022,0.00289544,0.003749912,0.004251156
46,0.00041766,0.000435081,0.000546108,0.000586303,0.00073491,0.000808915,0.000971349,0.001084836,0.001235092,0.001389105,0.002587762,0.002940173,0.003816775,0.004327494
